animal_id,ZBNr,Name,Rasse,Wurfdatum,geburtsjahr,birthyear_clean,geschlecht,sex_clean,sex_code,father_id,mother_id,ed_score,ed_trait_blup,ed_phenotyped_bool,ED_rechts_raw,ED_links_raw,ed_blup_raw,se_blup,pev,reliability,reliability_prozent,accuracy,accuracy_prozent,sicherheitsklasse,ed_zw_0_10_niedrig_gut
108921,1418687,Holly vom Wachtberger Ländchen,Labrador-Retriever,3/13/2014,2014.0,2014.0,H,H,2,69941,84919,0.0,1.0,True,"frei,frei",frei,-0.21354779,0.13041049,0.017006895902040096,0.660960569713327,66.0960569713327,0.8129948153053173,81.29948153053172,hoch,-16.331075620577103
85461,KC AH04813308,Ffynongain Lincon,Labrador-Retriever,8/28/2007,2007.0,2007.0,R,R,1,112477,85460,0.0,1.0,True,"frei,frei",frei,-0.21009159,0.15901003,0.025284189640600897,0.4959493313543938,49.594933135439376,0.7042367012265079,70.42367012265079,mittel,-16.048752618732973
141418,KC AH04627703,Cynhinfa Hamik,Labrador-Retriever,10/23/2007,2007.0,2007.0,R,R,1,62343,29287,0.0,1.0,True,"frei,frei",frei,-0.20878577,0.16767012,0.0281132691408144,0.43955047364908895,43.95504736490889,0.6629860282457609,66.2986028245761,mittel,-15.942085463398183
20539,01-8819,Dux vom Windbrunnen,Labrador-Retriever,5/5/2001,2001.0,2001.0,R,R,1,34497,33902,0.0,1.0,True,"frei,frei",frei,-0.20799971,0.16067301,0.0258158161424601,0.4853511394589509,48.53511394589509,0.696671471684431,69.6671471684431,mittel,-15.877875400661768
32753,LOSH 0953049,Derwilhelm van't Balkenhof,Labrador-Retriever,4/13/2004,2004.0,2004.0,R,R,1,62403,70017,0.0,1.0,True,"frei,frei",frei,-0.2076021,0.16864171,0.0284400263517241,0.4330364349163889,43.30364349163889,0.6580550394278497,65.80550394278497,mittel,-15.84539624761413
34219,LCD 00/G 0811,Sesam aus Lühlsbusch,Labrador-Retriever,10/8/2000,2000.0,2000.0,R,R,1,30246,32269,0.0,1.0,True,"frei,frei",frei,-0.20597638,0.09810135,0.0096238748718225,0.8081441156289123,80.81441156289124,0.8989683618620359,89.89683618620359,hoch,-15.712597754888577
34672,SHSB 600946,Haredale Kerwyn,Labrador-Retriever,5/21/2001,2001.0,2001.0,R,R,1,34834,34320,0.0,1.0,True,"frei,frei",frei,-0.20363776,0.13892331,0.019299686061356097,0.615252859508072,61.525285950807195,0.7843805578340605,78.43805578340604,hoch,-15.52156534398275
34722,01-9122,Etoscha vom Bleckengrund,Labrador-Retriever,12/26/2001,2001.0,2001.0,H,H,2,34669,34615,0.0,1.0,True,"frei,frei",frei,-0.20193122,0.14278315,0.0203870279239225,0.593576254457109,59.3576254457109,0.7704390011267012,77.04390011267012,mittel,-15.382164992276515
23082,511861,Franca vom Hirschthürl,Labrador-Retriever,11/20/2005,2005.0,2005.0,H,H,2,34653,34684,0.0,1.0,True,"frei,frei",frei,-0.20179575,0.14486591,0.020986131880128097,0.5816328718925063,58.16328718925063,0.7626485900416432,76.26485900416432,mittel,-15.371098995789094
23831,712640,Havanna vom Hülser Bruch,Labrador-Retriever,1/26/2007,2007.0,2007.0,H,H,2,34219,34862,0.0,1.0,True,"frei,frei",frei,-0.20144819,0.13992855,0.019579999105102504,0.6096647042561599,60.966470425615995,0.7808102869815177,78.08102869815177,hoch,-15.34270822484964
34803,93-5050,Titus vom Tennikerweidli,Labrador-Retriever,2/12/1993,1993.0,1993.0,R,R,1,34644,34131,0.0,1.0,True,"frei,frei",frei,-0.20143941,0.12281185,0.0150827505004225,0.6993191957971672,69.93191957971672,0.836253069230342,83.6253069230342,hoch,-15.341991022154138
142298,KCSB 4398DA,Westmacott Gaelic,Labrador-Retriever,8/20/2013,2013.0,2013.0,R,R,1,135040,112473,0.0,1.0,True,"frei,frei",frei,-0.19960184,0.16497063,0.027215308762596903,0.45745168130064784,45.74516813006478,0.6763517437699469,67.63517437699468,mittel,-15.191887359606044
34406,511347,Dickson Ash,Labrador-Retriever,4/30/2001,2001.0,2001.0,R,R,1,30242,29825,0.0,1.0,True,"frei,frei",frei,-0.19924368,0.12418206,0.015421184025843599,0.6925723849558709,69.25723849558709,0.8322093396230728,83.22093396230727,hoch,-15.162630717530789
121288,S 28403/2014,Tjotte's Deep Purple,Labrador-Retriever,3/22/2014,2014.0,2014.0,R,R,1,81612,142417,0.0,1.0,True,"frei,frei",frei,-0.19887734,0.15052667,0.0226582783812889,0.5482979470258582,54.82979470258582,0.7404714356582961,74.04714356582961,mittel,-15.13270588433376
156999,2025187,August vom Ebrachtal,Labrador-Retriever,4/30/2019,2019.0,2019.0,R,R,1,157012,143108,0.0,1.0,True,"frei,frei",frei,-0.19851916,0.12723846,0.0161896257031716,0.6772531856151749,67.72531856151748,0.8229539389389754,82.29539389389754,hoch,-15.10344760853938
115278,1519841,Maxwoods Beaver,Labrador-Retriever,6/27/2015,2015.0,2015.0,R,R,1,90604,81779,0.0,1.0,True,"frei,frei",frei,-0.19851333,0.1473338,0.021707248622439997,0.5672571145002193,56.72571145002193,0.7531647326450033,75.31647326450033,mittel,-15.10297137941469
34293,LOSH 0824931,Dual's Hope Xerox,Labrador-Retriever,6/6/1998,1998.0,1998.0,R,R,1,29253,29680,0.0,1.0,True,"frei,frei",frei,-0.19781245,0.12980039,0.0168481412441521,0.6641254087924704,66.41254087924705,0.814938898809273,81.4938898809273,hoch,-15.045719326428024
158868,KC AL03730905,Levenghyl Malusi,Labrador-Retriever,,,,R,R,1,34653,124695,0.0,1.0,True,"frei,frei",frei,-0.19566575,0.15516005,0.024074641116002497,0.5200621762289682,52.00621762289682,0.7211533652621807,72.11533652621807,mittel,-14.870364084237524
68046,813875,Jazzman vom Keien Fenn,Labrador-Retriever,6/26/2008,2008.0,2008.0,R,R,1,104908,34562,0.0,1.0,True,"frei,frei",frei,-0.19550362,0.10858517,0.011790739143928898,0.7649467895233664,76.49467895233664,0.8746123652929716,87.46123652929715,hoch,-14.857120340157612
34392,410545,Elisca Amely vom Hülser Bruch,Labrador-Retriever,2/24/2004,2004.0,2004.0,H,H,2,33870,34717,0.0,1.0,True,"frei,frei",frei,-0.19487927,0.13150108,0.0172925340411664,0.6552662565055939,65.5266256505594,0.8094851799172076,80.94851799172076,hoch,-14.806119713399502
102506,1217666,"Speed'n Style Bond, James Bond",Labrador-Retriever,11/29/2012,2012.0,2012.0,R,R,1,105326,66237,0.0,1.0,True,"frei,frei",frei,-0.1946526,0.09284326,0.0086198709274276,0.8281593451730872,82.81593451730872,0.9100326066537875,91.00326066537875,hoch,-14.787603957705963
150397,KC AR01840705,Greenbriar Piano,Labrador-Retriever,5/21/2014,2014.0,2014.0,R,R,1,150396,150395,0.0,1.0,True,"frei,frei",frei,-0.19434177,0.13815003,0.019085430789000903,0.6195241260515748,61.952412605157484,0.7870985491357323,78.70985491357322,hoch,-14.762213511938008
